ID_Trans,ID1,ID2,ID3,ID_cross,ID_OTU,Cultivar,Habitat,Timepiont,Treatment1,plot
SRR8743024_quant,SRR8743024,SRX5535096,A0629164L19,BTX642_Leaf_TP04_Control_19,TP4L19,BTX642,Leaf,TP04,Control,19
SRR8743025_quant,SRR8743025,SRX5535097,A0629164L02,BTX642_Leaf_TP04_Control_2,TP4L2,BTX642,Leaf,TP04,Control,2
SRR8743061_unmaped__quant,SRR8743061,SRX5535133,A0629164R05,RTX430_Root_TP04_Pre_flowering_drought_5,TP4R5,RTX430,Root,TP04,Pre_flowering_drought,5
SRR8743062_unmaped__quant,SRR8743062,SRX5535134,A0629164R13,RTX430_Root_TP04_Pre_flowering_drought_13,TP4R13,RTX430,Root,TP04,Pre_flowering_drought,13
SRR8743063_unmaped__quant,SRR8743063,SRX5535135,A0629164R18,RTX430_Root_TP04_Pre_flowering_drought_18,TP4R18,RTX430,Root,TP04,Pre_flowering_drought,18
SRR8743123_unmaped__quant,SRR8743123,SRX5535195,A0629164R12,RTX430_Root_TP04_Control_12,TP4R12,RTX430,Root,TP04,Control,12
SRR8743124_unmaped__quant,SRR8743124,SRX5535196,A0629164R20,RTX430_Root_TP04_Control_20,TP4R20,RTX430,Root,TP04,Control,20
SRR8743125_unmaped__quant,SRR8743125,SRX5535197,A0629164R01,RTX430_Root_TP04_Control_1,TP4R1,RTX430,Root,TP04,Control,1
SRR8743161_unmaped__quant,SRR8743161,SRX5535233,A0629164R06,BTX642_Root_TP04_Pre_flowering_drought_6,TP4R6,BTX642,Root,TP04,Pre_flowering_drought,6
SRR8743162_unmaped__quant,SRR8743162,SRX5535234,A0629164R14,BTX642_Root_TP04_Pre_flowering_drought_14,TP4R14,BTX642,Root,TP04,Pre_flowering_drought,14
SRR8743163_unmaped__quant,SRR8743163,SRX5535235,A0629164R17,BTX642_Root_TP04_Pre_flowering_drought_17,TP4R17,BTX642,Root,TP04,Pre_flowering_drought,17
SRR8743222_unmaped__quant,SRR8743222,SRX5535294,A0629164R11,BTX642_Root_TP04_Control_11,TP4R11,BTX642,Root,TP04,Control,11
SRR8743223_unmaped__quant,SRR8743223,SRX5535295,A0629164R19,BTX642_Root_TP04_Control_19,TP4R19,BTX642,Root,TP04,Control,19
SRR8743224_unmaped__quant,SRR8743224,SRX5535296,A0629164R02,BTX642_Root_TP04_Control_2,TP4R2,BTX642,Root,TP04,Control,2
SRR8742867_quant,SRR8742867,SRX5534939,A0706165L13,RTX430_Leaf_TP05_Pre_flowering_drought_13,TP5L13,RTX430,Leaf,TP05,Pre_flowering_drought,13
SRR8742868_quant,SRR8742868,SRX5534940,A0706165L05,RTX430_Leaf_TP05_Pre_flowering_drought_5,TP5L5,RTX430,Leaf,TP05,Pre_flowering_drought,5
