"","dd","ID_C","ID_OTU","Fungi_percent"
"63",3.50195606703019,"SRR8742923_quant","TP4L12",2.333448994
"64",3.3233845297716,"SRR8742924_quant","TP4L20",13.84947905
"65",3.25160149592089,"SRR8742925_quant","TP4L1",4.522554867
"66",3.17362312734034,"SRR8742926_quant","TP5L1",3.690223435
"67",3.55479896882786,"SRR8742927_quant","TP5L12",10.02666159
"68",3.47784295432216,"SRR8742928_quant","TP5L20",16.88259109
"69",3.41941469555749,"SRR8742929_quant","TP6L12",13.30830474
"70",2.82483952045615,"SRR8742930_quant","TP6L20",15.39692172
"71",3.83439345788235,"SRR8742931_quant","TP6L1",7.717756906
"72",3.10664777341322,"SRR8742932_quant","TP7L12",18.10344828
"73",3.43932824281408,"SRR8742933_quant","TP8L20",30.76238835
"74",3.48736642533528,"SRR8742934_quant","TP8L12",22.46940148
"75",2.97237461805775,"SRR8742935_quant","TP8L1",20.61092908
"76",2.29256197583232,"SRR8742936_quant","TP9L12",63.64998777
"77",2.42647809127929,"SRR8742937_quant","TP9L20",46.94466931
"78",2.40186206358603,"SRR8742938_quant","TP9L1",47.88604879
"79",2.06272786221692,"SRR8742939_quant","TP10L20",90.44287468
"80",2.05666619443685,"SRR8742940_quant","TP10L12",89.14550335
"81",2.85531822534124,"SRR8742941_quant","TP10L1",78.8660257
"82",2.08990646537465,"SRR8742942_quant","TP11L20",93.2095607
"83",2.11517140614844,"SRR8742943_quant","TP11L12",94.62422635
"84",1.9741054775661,"SRR8742944_quant","TP11L1",99.78086194
"85",2.1182074542625,"SRR8742945_quant","TP12L20",98.75509766
"86",2.45738801639655,"SRR8742946_quant","TP12L1",95.32183403
"87",2.113858365468,"SRR8742947_quant","TP12L12",96.85984604
"88",1.92312152012138,"SRR8742948_quant","TP13L20",98.55584209
"89",1.92053906033325,"SRR8742949_quant","TP13L1",99.13083847
"90",1.99479491285045,"SRR8742950_quant","TP13L12",96.34108163
"91",1.85515365697565,"SRR8742951_quant","TP14L12",98.40424655
"92",1.87309821208423,"SRR8742952_quant","TP15L20",97.1650109
"93",1.86716432344813,"SRR8742953_quant","TP15L12",96.23548842
"94",1.88933706496188,"SRR8742954_quant","TP16L12",96.04813549
"95",1.7225875100158,"SRR8742955_quant","TP17L1",95.21606119
"96",1.82448184044933,"SRR8742956_quant","TP17L20",98.77844868
"97",1.83862184766063,"SRR8742957_quant","TP17L12",98.47721592
"98",2.89441162861601,"SRR8742958_quant","TP3L6",4.043969342
"99",3.45942949740743,"SRR8742959_quant","TP3L14",16.07072948
"100",2.98890056689696,"SRR8742960_quant","TP3L17",6.719256797
"101",2.92796368074398,"SRR8742961_quant","TP4L6",32.29236222
"102",3.12815501009177,"SRR8742962_quant","TP4L14",9.513803972
"103",3.35772714135943,"SRR8742963_quant","TP4L17",4.799258361
"104",3.06630539869609,"SRR8742964_quant","TP5L6",10.15024422
"105",4.48504687181849,"SRR8742965_quant","TP5L14",11.15253447
"106",3.17055416598026,"SRR8742966_quant","TP5L17",10.34105815
"107",3.18408762152649,"SRR8742967_quant","TP6L6",15.71409697
"108",3.48361456734465,"SRR8742968_quant","TP6L14",6.215437339
"109",3.1390364736165,"SRR8742969_quant","TP6L17",2.981191624
"110",3.0536915929836,"SRR8742970_quant","TP7L6",7.352477122
"111",2.81879786088953,"SRR8742971_quant","TP8L14",31.28335358
"112",3.0095518076961,"SRR8742972_quant","TP8L6",13.94525656
"113",2.43148554816666,"SRR8742973_quant","TP8L17",14.44266315
"114",2.98873866264348,"SRR8742974_quant","TP9L14",37.16015602
"115",3.03950278245847,"SRR8742975_quant","TP9L6",10.92130518
"116",3.45470096762515,"SRR8742976_quant","TP9L17",26.32844761
"117",3.26122101594131,"SRR8742977_quant","TP10L14",46.70169294
"118",3.47557264318689,"SRR8742978_quant","TP10L6",39.51850868
"119",3.09362651569851,"SRR8742979_quant","TP10L17",32.64640748
"120",2.73451110669174,"SRR8742980_quant","TP11L14",38.84054178
"121",3.69866799721585,"SRR8742981_quant","TP11L6",48.19885684
"122",2.66247452621751,"SRR8742982_quant","TP11L17",43.8568298
"123",3.1468095507543,"SRR8742983_quant","TP12L6",82.15695782
"124",2.35074685706668,"SRR8742984_quant","TP12L14",82.90450769
"125",3.96835435961424,"SRR8742985_quant","TP12L17",72.02461065
"126",2.08003630463923,"SRR8742986_quant","TP13L14",97.35356693
"127",2.5447409777652,"SRR8742987_quant","TP13L17",92.61073421
"128",2.0566494530235,"SRR8742988_quant","TP13L6",89.01295692
"129",2.03573908422775,"SRR8742989_quant","TP14L6",91.17588776
"130",2.13726087852733,"SRR8742990_quant","TP15L6",82.95599675
"131",1.88970210763234,"SRR8742991_quant","TP15L14",94.87036001
"132",2.30194790538226,"SRR8742992_quant","TP15L17",95.29409662
"133",1.9106534661528,"SRR8742993_quant","TP16L6",87.12488298
"134",1.98098250143498,"SRR8742994_quant","TP17L6",87.60532342
"135",1.99776080931339,"SRR8742995_quant","TP17L14",98.07654588
"136",1.85216356559103,"SRR8742996_quant","TP17L17",98.03271282
"137",3.04789731228858,"SRR8742997_quant","TP9L4",46.91141261
"138",3.08694860972799,"SRR8742998_quant","TP9L21",47.34874027
"139",2.24286883885133,"SRR8742999_quant","TP9L15",76.77070713
"140",2.20281055295876,"SRR8743000_quant","TP10L4",77.11520535
"141",2.12443908280591,"SRR8743001_quant","TP10L21",77.77297536
"142",2.16535764434129,"SRR8743002_quant","TP10L15",75.99687081
"143",1.99994671697302,"SRR8743003_quant","TP11L4",72.40543547
"144",2.18096825358944,"SRR8743004_quant","TP11L21",77.98000189
"145",2.0323446256733,"SRR8743005_quant","TP11L15",82.6847579
"146",1.85920603100682,"SRR8743006_quant","TP12L21",92.83971105
"147",1.84810575167664,"SRR8743007_quant","TP13L4",94.99250948
"148",1.97590467839839,"SRR8743008_quant","TP13L15",91.77650107
"149",1.91007295891891,"SRR8743009_quant","TP13L21",95.45690201
"150",1.91596294479076,"SRR8743010_quant","TP14L21",96.96119294
"151",1.84202401802288,"SRR8743011_quant","TP15L4",92.92358348
"152",1.83988174386094,"SRR8743012_quant","TP15L15",95.01303009
"153",1.91909021624491,"SRR8743013_quant","TP15L21",91.38099714
"154",1.94051454730226,"SRR8743014_quant","TP16L21",91.20284597
"155",1.73178562218321,"SRR8743015_quant","TP17L4",92.36975565
"156",1.81795214380488,"SRR8743016_quant","TP17L15",95.461513
"157",1.90005878734369,"SRR8743017_quant","TP17L21",93.92259491
"158",3.15197291983181,"SRR8743018_quant","TP2L11",5.538361297
"159",3.31574347706035,"SRR8743019_quant","TP2L19",24.30378456
"160",3.25736160885999,"SRR8743020_quant","TP2L2",3.939040128
"161",2.88809184337863,"SRR8743021_quant","TP3L11",8.151894242
"162",3.0052599046104,"SRR8743022_quant","TP3L19",10.52430366
"163",1.34072616971228,"SRR8743023_quant","TP3L2",15.36938248
"164",3.23602091100011,"SRR8743024_quant","TP4L19",8.012766266
"165",3.13583675932842,"SRR8743025_quant","TP4L2",9.136325487
"166",2.9614253190619,"SRR8743026_quant","TP5L11",9.290540541
"167",3.14501093261895,"SRR8743027_quant","TP5L2",4.670674955
"168",3.189599081277,"SRR8743028_quant","TP5L19",9.254487582
"169",3.19133060874575,"SRR8743029_quant","TP6L11",8.693927736
"170",2.71925348248136,"SRR8743030_quant","TP6L19",5.452347794
"171",3.19857282786219,"SRR8743031_quant","TP6L2",4.884437596
"172",3.07043102075241,"SRR8743032_quant","TP7L11",14.6478376
"173",3.34059039975737,"SRR8743033_quant","TP8L19",24.4951788
"174",3.29093558331782,"SRR8743034_quant","TP8L11",21.94583036
"175",2.73435410190531,"SRR8743035_quant","TP8L2",38.84139033
"176",2.33213123839982,"SRR8743036_quant","TP9L19",72.02831367
"177",2.25196444104076,"SRR8743037_quant","TP9L11",87.49127878
"178",0.48469845048544,"SRR8743038_quant","TP9L2",52.06658567
"179",2.48561516033385,"SRR8743039_quant","TP10L19",71.94745601
"180",2.16047488976003,"SRR8743040_quant","TP10L11",86.01161216
"181",2.2901270220767,"SRR8743041_quant","TP10L2",67.80114203
"182",2.2604834556579,"SRR8743042_quant","TP11L19",79.89964204
"183",2.47918517758856,"SRR8743043_quant","TP11L11",86.50096368
"184",2.23213764108529,"SRR8743044_quant","TP11L2",99.78523624
"185",2.26543576825195,"SRR8743045_quant","TP12L11",98.17866162
"186",2.73895545622029,"SRR8743046_quant","TP12L19",97.78843331
"187",1.92814875661648,"SRR8743047_quant","#N/A",NA
"188",2.07285948542777,"SRR8743048_quant","TP13L19",97.04204252
"189",1.84213557625844,"SRR8743049_quant","TP13L2",96.53661856
"190",1.97205215714415,"SRR8743050_quant","TP13L11",97.92907567
"191",1.9061223556911,"SRR8743051_quant","TP14L11",98.36787428
"192",1.97200298057476,"SRR8743052_quant","TP15L19",96.76078482
"193",1.7148420320984,"SRR8743053_quant","TP15L2",93.83733563
"194",1.85473198891389,"SRR8743054_quant","TP15L11",97.22995697
"195",1.72511055801172,"SRR8743055_quant","TP17L2",96.88651204
"196",1.90911890945366,"SRR8743056_quant","TP17L11",97.82235376
"197",1.86610926152152,"SRR8743057_quant","TP17L19",96.61684579
