"","ID_OTU","Fungi_percent","ID.x","size_content","ID.y","GC_content","ID1","ID2","ID3","ID_cross","Cultivar","Habitat","Timepiont","Treatment1","plot"
"48","TP13L3",95.59096686,"TP13L3",1200.08499537362,"SRR8742908_quant",53.6284794863991,"SRR8742908","SRX5534980","A0831165L03","RTX430_Leaf_TP13_Post_flowering_drought_3","RTX430","Leaf",13,"Post_flowering_drought",3
"49","TP13L22",95.81501888,"TP13L22",1310.07893170686,"SRR8742909_quant",53.0668369004809,"SRR8742909","SRX5534981","A0831165L22","RTX430_Leaf_TP13_Post_flowering_drought_22","RTX430","Leaf",13,"Post_flowering_drought",22
"50","TP14L22",95.16385722,"TP14L22",1288.84037230492,"SRR8742910_quant",53.0599105625163,"SRR8742910","SRX5534982","A0907166L22","RTX430_Leaf_TP14_Post_flowering_drought_22","RTX430","Leaf",14,"Post_flowering_drought",22
"51","TP15L3",93.5331825,"TP15L3",1170.18083908256,"SRR8742911_quant",53.6694136378395,"SRR8742911","SRX5534983","A0914167L03","RTX430_Leaf_TP15_Post_flowering_drought_3","RTX430","Leaf",15,"Post_flowering_drought",3
"52","TP15L16",95.24958468,"TP15L16",1098.04086806445,"SRR8742912_quant",53.8263383926986,"SRR8742912","SRX5534984","A0914167L16","RTX430_Leaf_TP15_Post_flowering_drought_16","RTX430","Leaf",15,"Post_flowering_drought",16
"53","TP15L22",96.65193297,"TP15L22",1178.55568441496,"SRR8742913_quant",53.605171632131,"SRR8742913","SRX5534985","A0914167L22","RTX430_Leaf_TP15_Post_flowering_drought_22","RTX430","Leaf",15,"Post_flowering_drought",22
"54","TP17L3",94.59855799,"TP17L3",1469.22854731155,"SRR8742914_quant",51.4163765383244,"SRR8742914","SRX5534986","A0928169L03","RTX430_Leaf_TP17_Post_flowering_drought_3","RTX430","Leaf",17,"Post_flowering_drought",3
"55","TP17L16",97.44375523,"TP17L16",1193.51590695805,"SRR8742915_quant",53.8280158761918,"SRR8742915","SRX5534987","A0928169L16","RTX430_Leaf_TP17_Post_flowering_drought_16","RTX430","Leaf",17,"Post_flowering_drought",16
"56","TP17L22",96.97372374,"TP17L22",1236.99375224571,"SRR8742916_quant",53.8043286464722,"SRR8742916","SRX5534988","A0928169L22","RTX430_Leaf_TP17_Post_flowering_drought_22","RTX430","Leaf",17,"Post_flowering_drought",22
"57","TP2L12",6.591235632,"TP2L12",2212.2339565403,"SRR8742917_quant",46.5611776470192,"SRR8742917","SRX5534989","A0615163L12","RTX430_Leaf_TP02_Control_12","RTX430","Leaf",2,"Control",12
"58","TP2L20",11.67315175,"TP2L20",2112.51923927812,"SRR8742918_quant",47.5693319243475,"SRR8742918","SRX5534990","A0615163L20","RTX430_Leaf_TP02_Control_20","RTX430","Leaf",2,"Control",20
"59","TP2L1",11.71119955,"TP2L1",2376.39677070143,"SRR8742919_quant",47.065297579189,"SRR8742919","SRX5534991","A0615163L01","RTX430_Leaf_TP02_Control_1","RTX430","Leaf",2,"Control",1
"60","TP3L12",6.534551977,"TP3L12",2500.81634236877,"SRR8742920_quant",46.3723946139626,"SRR8742920","SRX5534992","A0622162L12","RTX430_Leaf_TP03_Control_12","RTX430","Leaf",3,"Control",12
"61","TP3L20",3.928944619,"TP3L20",2401.64503923568,"SRR8742921_quant",47.1325999401571,"SRR8742921","SRX5534993","A0622162L20","RTX430_Leaf_TP03_Control_20","RTX430","Leaf",3,"Control",20
"62","TP3L1",12.73741983,"TP3L1",2532.18326731067,"SRR8742922_quant",46.6650548224215,"SRR8742922","SRX5534994","A0622162L01","RTX430_Leaf_TP03_Control_1","RTX430","Leaf",3,"Control",1
