,Fungi_percent,AA13,AA9,CBM1,CBM18,CBM20,CBM42,CBM48,CE10,GH1,GH105,GH12,GH13,GH15,GH16,GH17,GH18,GH19,GH20,GH26,GH28,GH29,GH3,GH31,GH32,GH37,GH38,GH43,GH47,GH5,GH51,GH54,GH6,GH66,GH7,GH74,GH76,GH88,GH9,GH95,GT15,GT2,GT20,GT22,GT24,GT34,GT5,GT59,GT77,PL4
TP9L22,54.48691901,48.9987,4647.70634,4647.70634,115.43663,102.894655,0,0,0,15.62843,0,0,93.630055,2.67394,0,76.19078,195.65945,115.43663,5.33439,0,0,0,14.475203,98.782617,70.93612,57.077722,0,0,0,21.63875,30.19386,0,15.1938,0,0,0,1.44349,0,21.63875,0,0,0,0,4.09553,2.23889,0,0,0,1.23694,0
TP9L16,51.29515419,27.3514,2161.0868,2161.0868,108.8261,95.06356,0,0,0,0,8.12728,0,101.27606,0,0,82.24412,116.51037,108.8261,4.78558,0,0,0,14.34076,114.383118,18.70581,34.37462,0,3.59614,0,11.208637,43.874408,0,8.34878,0,0,0,3.90735,0,11.208637,3.33085,0,0,0,0,0,0,5.81543,9.38238,1.55355,0
TP10L3,65.19857323,46.0842,39.41065,39.41065,28.879914,99.53773,0,0,1.64765,0,5.46761,0,115.852144,10.0208,0,136.59747,81.214114,28.879914,4.58772,0,0,0,95.45582,246.033587,124.0737,48.023703,12.21801,3.45018,0,48.22532,65.76876,0,9.37294,0,0,0,15.5567,0,48.22532,0,0,18.583,0,5.30941,5.04486,0,5.69972,9.49151,4.81066,0
TP10L22,80.88256657,22.42999,44.85941,44.85941,61.69344,73.79069,3.10632,0,4.17055,2.28744,3.91038,0,139.04253,0,0,124.79201,83.49644,61.69344,4.56685,0,0,0,94.76627,308.814718,130.30517,17.55761,0,48.32467,0,31.61264,57.04309,3.10632,23.03586,0,8.76773,0,40.71379,0,21.96693,4.91773,0,0,0,0,29.9756,0,10.28223,3.78696,0,8.97381
TP10L16,41.66018095,52.49507,25.57805,25.57805,84.23204,112.08277,0,0,1.66,0,0,0,102.331267,3.49248,0,119.75357,119.740212,84.23204,3.726458,0,3.52578,0,107.03236,205.715313,80.69641,26.91632,28.61281,18.79034,0,19.02124,51.51575,0,3.72092,0,0,0,15.80932,0,17.66243,0,0,9.36117,0,2.05426,7.43314,0,0,7.46549,4.84674,0
TP11L3,87.83995231,135.28695,125.977995,125.977995,36.78749,171.88833,24.1154,0,15.30346,5.503573,22.79799,36.22314,161.68902,9.3198,0,274.37533,79.465945,36.78749,18.055092,0,0,19.4559,264.47171,380.332545,112.39586,78.146901,23.59329,63.65836,3.75486,54.608146,120.242158,24.1154,25.20272,0,57.0447,0,87.865854,0,24.602866,0,0,0,2.17727,1.52652,8.8823,0,31.013439,15.64757,0.967939,19.96382
TP11L22,68.5783711,137.3597,1850.724693,1850.724693,24.06441,156.18299,18.98951,0,21.9756,5.749384,21.64777,0.933102,174.484181,14.40203,0,277.32521,79.207877,24.06441,18.08502,0,2.51571,10.366688,221.438379,359.307112,109.586515,49.06231,7.063477,72.970336,4.05135,42.907281,104.913705,18.98951,4.54212,0,2.350619,0,73.912469,0,20.696941,7.87454,0,0,0.648242,27.12492,20.938211,0,21.169843,11.153669,1.15275,14.932103
TP11L16,71.86785635,162.22136,71.38633,71.38633,7.8247,186.8675,16.46667,0,47.7337,11.200601,26.78956,21.32222,239.57895,14.39043,0,242.44933,85.67133,7.8247,32.88991,0,0,18.18702,362.809458,511.13028,138.85044,66.89928,14.4674,74.36581,0,61.085325,153.652485,16.46667,5.87137,0,0,0,83.121066,0,39.347935,4.1913,0,0,0,6.46699,22.10951,0,63.4188,5.7042,1.64814,7.793036
TP12L22,95.20393568,229.98081,135.917518,135.917518,14.134183,252.3244,12.461415,0,29.75213,13.518536,27.26477,16.28908,263.49156,17.79252,0,402.57805,69.98309,14.134183,26.608811,0,2.4723,6.37364,305.525784,441.422918,141.94202,92.81313,19.864804,77.36936,0.637725,61.898296,117.892362,12.461415,9.33189,0,28.79334,0,99.027813,0,34.492976,6.31607,0,0,0,10.56414,8.982543,0,49.83867,11.60829,1.34755,2.467037
TP13L16,95.51783228,100.367503,1823.543111,1823.543111,4.249523,105.339844,12.0037,0,14.31972,107.35125,81.636636,61.341217,117.639897,8.879897,0,237.608982,67.676283,4.249523,32.157378,1.86501,8.716851,10.252404,1399.809181,285.385964,65.391057,56.106597,30.5484,56.250274,3.91737,229.896738,425.470886,12.0037,78.987351,0,255.25271,0,114.27334,0,212.04107,8.00128,0,0,0.323491,7.102389,17.14365,0,42.792722,12.015023,1.00669,18.99515
TP13L3,95.59096686,57.219008,2613.345313,2613.345313,13.968829,65.963277,11.49352,0,14.6083,175.9514,98.54186,70.86412,122.870442,10.901648,0,275.388165,91.677996,13.968829,21.318589,1.34512,11.09937,16.50673,1344.156268,403.809897,87.882833,50.148272,27.329978,43.85454,2.828793,196.659468,598.522955,11.49352,109.349513,0,343.036152,0,127.952165,0,180.963264,2.74318,0,0,0.987361,5.911512,15.659058,0,38.892157,11.357281,0,17.92007
TP13L22,95.81501888,112.24453,1817.24899,1817.24899,10.505199,119.764272,19.76036,0,19.11155,36.06707,38.46514,15.51109,150.736193,9.76819,0,314.143652,58.84182,10.505199,22.751707,1.3023,7.28273,8.120969,658.750694,412.329035,94.503493,83.145045,19.38707,60.19884,2.01118,85.750019,195.407834,19.76036,21.022336,0,59.79651,0,143.536162,0,75.698099,7.52115,0,0,1.27457,13.376927,12.616305,0,27.692671,16.15441,0,6.14463
TP14L22,95.16385722,137.526196,1584.211867,1584.211867,10.537318,153.905059,12.260249,0,28.48432,76.35432,50.41212,28.715113,186.643234,22.325877,0,337.569116,72.611512,10.537318,31.038026,0.667024,7.64381,12.584188,867.390427,416.907494,112.839853,85.429562,26.252547,40.51717,3.581409,92.958944,400.256344,12.260249,62.546907,0,92.478814,0,154.550923,0,81.278069,3.196654,0,0,1.44621,7.263043,20.250805,0,42.798308,12.549263,0.257174,14.256776
TP15L3,93.5331825,69.672638,1861.276078,1861.276078,5.887876,72.608812,12.61231,0,13.103895,126.572205,90.559222,45.902688,104.991084,23.429268,0,394.575202,73.026793,5.887876,27.085521,1.831699,6.186243,13.50187,838.367136,338.380738,104.513797,60.111224,23.350567,48.38346,6.303409,111.125203,523.249389,12.61231,65.733877,0,195.531147,0,224.652191,0.708449,99.974876,2.603214,0,0,0.416018,3.484147,8.9568,0,34.651529,11.651786,0,9.40501
TP15L16,95.24958468,87.934353,1641.465996,1641.465996,5.170986,93.673723,8.013226,0,22.061346,96.33449,83.535093,47.877148,99.120996,12.809786,0,199.984657,59.262223,5.170986,27.852719,1.08973,4.92518,15.556047,1138.809841,248.368749,68.718683,50.265172,19.4071,57.783811,2.91999,203.558686,370.019309,8.013226,79.529971,0,232.23267,0,118.853575,0,182.321719,5.66862,0,0,0.923728,13.14678,19.487145,0,36.215505,5.727089,0,14.394075
TP15L22,96.65193297,91.77984,1108.663873,1111.422759,6.199485,100.69065,20.26221,0,25.11977,92.732734,80.888657,88.274954,162.96457,24.203052,0,376.755537,70.957936,6.199485,32.525891,2.470187,6.08246,13.544152,1023.428249,340.897527,100.645405,88.833102,20.634682,52.99225,4.804547,143.857412,294.205241,20.26221,111.347366,0,214.35033,2.758886,190.12562,0,131.594632,5.425682,0,1.4279,1.66296,8.164253,11.65217,0,46.215738,14.686673,0.246432,14.300079
TP17L3,94.59855799,60.013451,3102.81832,3102.81832,25.046127,77.351651,19.385309,0,17.021678,224.14448,59.34731,243.04544,120.517515,20.695188,0,295.083119,179.994618,25.046127,45.053289,7.13614,8.131675,29.2414,1283.002876,350.313017,87.559734,83.53423,34.699573,51.41635,9.58041,213.730397,716.143155,19.385309,417.355516,0,770.48901,0,182.816095,0,200.244621,4.861328,0,0,0.184116,9.176911,8.962645,5.891818,23.114536,12.006767,0.816332,27.18354
TP17L16,97.44375523,55.6999,8866.472869,8866.472869,4.619489,64.323492,11.759747,7.76564,17.85369,446.1625,109.18343,409.04629,136.155839,29.301278,0,397.23169,194.056759,4.619489,58.950385,12.65487,10.37486,29.867298,1781.488851,372.120279,102.226218,89.453381,38.965663,80.65233,18.10587,318.467933,1281.734119,11.759747,956.432019,0,1853.724106,0,198.605008,0,305.289663,2.972827,0,1.06677,0.414127,8.895379,12.07187,0,18.529036,18.723395,0,29.828754
TP17L22,96.97372374,61.421207,2735.271645,2735.271645,3.691606,67.798177,8.274662,0,16.018736,115.55529,64.051676,88.38744,144.583187,22.04012,0,397.02456,85.867638,3.691606,36.502826,3.399581,5.557721,7.73631,968.40335,393.032314,140.220188,116.943748,27.807056,52.023763,6.71598,131.482778,529.034097,8.274662,231.17184,0,344.035045,0,225.912748,0,112.539377,2.189837,0.770614,1.16811,0.226735,2.848346,12.529147,0,32.347891,18.68604,0,26.458788
TP2L12,6.591235632,48.6819,0,0,22.7801,108.98649,0,0,0,0,0,0,99.22429,0,0,5.08836,28.46877,22.7801,5.45132,0,0,0,29.7424,19.578,0,9.35412,0,0,0,82.6513,66.15291,0,16.9825,0,0,0,0,0,82.6513,14.2283,0,0,0,0,0,0,0,3.65224,0,0
TP2L20,11.67315175,62.9338,3250.04,3250.04,13.7105,105.9118,0,0,0,0,0,0,65.7493,0,0,0,19.83888,13.7105,2.20226,0,0,0,44.206,17.6794,0,5.6684,0,0,0,43.57901,27.069977,0,10.9771,0,0,0,0,0,43.57901,7.66406,0,0,0,0,0.809437,0,0,6.88545,1.7873,0
TP2L1,11.71119955,17.2245,2391.2,2391.2,11.81259,52.86756,0,0,0,0,0,0,52.26256,0,0,0,19.15748,11.81259,9.64387,0,0,0,21.32713,16.2989,0,8.27413,0,0,0,120.95214,70.2788,0,19.5283,0,0,0,0,0,120.95214,4.1952,0,0,0,0,2.65844,0,0,5.38428,0,0
TP3L12,6.534551977,106.21,0,0,77.1651,176.6695,0,0,0,0,0,0,168.0589,0,0,0,94.33845,77.1651,6.60733,0,0,0,17.34048,69.94112,9.55107,1.41722,0,0,0,8.83493,49.60313,0,4.11677,0,0,0,0,0,8.83493,0,0,0,0,0,17.6068,0,0,0,0,0
TP3L20,3.928944619,112.242,0,0,87.60025,198.0898,0,0,0,0,0,0,229.7318,0,0,4.72121,102.65814,87.60025,9.42654,0,0,0,30.23324,23.8974,0,2.23625,0,0,0,13.60795,31.95179,0,7.83108,0,0,0,2.97596,0,13.60795,0,0,0,0,0,1.9162,0,0,4.21035,2.55013,0
TP3L1,12.73741983,65.4422,1719.95,1719.95,32.16705,144.9593,0,0,0,0,0,0,175.8884,0,0,0,38.59902,32.16705,7.07443,0,0,0,8.06478,18.9309,0,8.09284,0,0,0,9.9283,48.21411,0,7.34633,0,0,0,0,0,9.9283,0,0,0,0,0,0,0,0,3.23072,1.91382,0
